method,t,median,q1,q3,coverage
sa,1.8901763846576944,8.720930232558139,4.153617903617904,19.26450742240216,1.0
sa,2.251053122438406,8.720930232558139,4.125464750464751,19.26450742240216,1.0
sa,2.6808292607874016,8.656716417910449,3.9565458315458315,19.26450742240216,1.0
sa,3.192659228632032,8.656716417910449,3.9565458315458315,18.76172607879925,1.0
sa,3.802208928134209,7.982456140350877,3.6818098887064403,18.402800550928053,1.0
sa,4.528135230823811,7.782101167315175,3.621170056531273,17.22739367931865,1.0
sa,5.3926570202151884,7.782101167315175,3.3591259015498984,16.56275277477576,1.0
sa,6.422235259167707,7.625,3.290531891099616,14.931901199747646,1.0
sa,7.648382897240333,7.625,3.290531891099616,13.88771669513963,1.0
sa,9.108629407384788,7.625,3.290531891099616,13.803686664402385,1.0
sa,10.847669474159156,7.625,3.290531891099616,13.018737412409676,1.0
sa,12.91873099208564,7.164634146341463,3.290531891099616,12.983763940736832,1.0
sa,15.385204245339567,7.164634146341463,3.290531891099616,12.689364453971713,1.0
sa,18.322582134098628,7.164634146341463,3.290531891099616,12.689364453971713,1.0
sa,21.82077083328191,7.164634146341463,3.290531891099616,12.16240714140271,1.0
sa,25.98684160746592,7.164634146341463,3.290531891099616,12.16240714140271,1.0
sa,30.948308008510093,7.164634146341463,3.290531891099616,12.16240714140271,1.0
sa,36.85702876314293,7.164634146341463,3.290531891099616,11.429597461239254,1.0
sa,43.89385580864722,7.164634146341463,3.290531891099616,11.429597461239254,1.0
sa,52.27416974200008,7.029478458049887,3.290531891099616,11.429597461239254,1.0
sa,62.25447210944526,7.029478458049887,3.290531891099616,11.429597461239254,1.0
sa,74.14023631085618,7.029478458049887,3.290531891099616,11.429597461239254,1.0
sa,88.29525741646478,7.029478458049887,3.290531891099616,11.429597461239254,1.0
sa,105.1527870716838,7.029478458049887,3.290531891099616,10.812358416169815,1.0
sa,125.2287943030676,7.029478458049887,3.290531891099616,10.812358416169815,1.0
sa,149.137758107251,7.029478458049887,3.290531891099616,10.721757322175732,1.0
sa,177.61147519657962,7.029478458049887,3.290531891099616,10.318621098233791,1.0
sa,211.52145856195136,6.55829596412556,3.290531891099616,10.318621098233791,1.0
sa,251.90561241978202,6.55829596412556,3.290531891099616,10.318621098233791,1.0
